FemaleFrequency,MaleFrequency
0.00108,0.00025
0.00166,0.00038
0.05934,0.01366
0.00263,6.00E-04
0.00583,0.00134
0.00204,0.00047
0.00292,0.00067
0.00828,0.00191
0.00137,0.00031
4.00E-05,1.00E-05
0.00204,0.00047
0.1065,0.02452
9.00E-05,2.00E-05
0.00084,0.00019
0.00525,0.00121
0.00175,4.00E-04
0.00139,0.00032
0.00321,0.00074
0.00175,4.00E-04
0.00263,6.00E-04
0.00017,4.00E-05
0.00175,4.00E-04
0.00175,4.00E-04
0.01607,0.0037
0.0035,0.00081
0.00108,0.00025
0.0058,0.00134
0.00838,0.00193
0.00408,0.00094
0.0013,3.00E-04
0.03474,0.008
0.0035,0.00081
0.00012,3.00E-05
0.00132,3.00E-04
0.00039,9.00E-05
0.00522,0.0012
0.00137,0.00031
0.00408,0.00094
0.00554,0.00128
0.009,0.00207
0.00149,0.00034
1.00E-05,0
9.00E-05,2.00E-05
0.00233,0.00054
0.00427,0.00098
0.01196,0.00275
0.02046,0.00471
0.00239,0.00055
0.00051,0.00012
0.0143,0.00329
0.00313,0.00072
0.00175,4.00E-04
0.00113,0.00026
0.00287,0.00066
0.00525,0.00121
0.0016,0.00037
0.00573,0.00132
0.00075,0.00017
0.00043,1.00E-04
0.00103,0.00024
0.00994,0.00229
0.00992,0.00228
0.00467,0.00107
0,0
3.00E-05,1.00E-05
0.00048,0.00011
0.00554,0.00128
0.00296,0.00068
0.02973,0.00684
0.0104,0.00239
0.00614,0.00141
4.00E-04,9.00E-05
0.00175,4.00E-04
0.00986,0.00227
0.00338,0.00078
0.00058,0.00013
0.00204,0.00047
0.00175,4.00E-04
0.00292,0.00067
0.01439,0.00331
4.00E-04,9.00E-05
0.00093,0.00021
2.00E-05,0
0.00233,0.00054
0.0036,0.00083
0.00159,0.00037
0.00175,4.00E-04
0.00467,0.00107
0.00337,0.00078
0.00263,6.00E-04
0.006,0.00138
0.0061,0.0014
0.00233,0.00054
0.01391,0.0032
0.0042,0.00097
0.00204,0.00047
0.00204,0.00047
0.00157,0.00036
0.00285,0.00066
0.00106,0.00024
0.00263,6.00E-04
0.01974,0.00455
0.00263,6.00E-04
0.01044,0.0024
0.00963,0.00222
0.00011,3.00E-05
0.00212,0.00049
0.00496,0.00114
0.00434,0.001
0.00233,0.00054
0.00374,0.00086
0.00263,6.00E-04
0.01488,0.00343
0.01148,0.00264
0.00057,0.00013
0.00204,0.00047
0.0035,0.00081
0,0
0.00204,0.00047
0.14595,0.0336
0.00588,0.00135
0.00379,0.00087
0.00028,6.00E-05
0.00024,6.00E-05
0.17167,0.03952
5.00E-04,0.00012
0.00336,0.00077
0.00175,4.00E-04
0.01239,0.00285
0.0052,0.0012
0.00963,0.00222
0.00292,0.00067
0.00077,0.00018
0.00148,0.00034
0.00089,2.00E-04
0.00362,0.00083
0.00051,0.00012
0.00729,0.00168
3.00E-05,1.00E-05
0.00171,0.00039
0.00654,0.00151
3.00E-04,7.00E-05
0.00261,6.00E-04
0.12717,0.02928
2.00E-05,0
0.01974,0.00455
0.00057,0.00013
0.00566,0.0013
0.00013,3.00E-05
0.00085,2.00E-04
0.00175,4.00E-04
0.00788,0.00181
0.00021,5.00E-05
0.00972,0.00224
0.00438,0.00101
0.00175,4.00E-04
0.00313,0.00072
0.00978,0.00225
0.00751,0.00173
0.00204,0.00047
0.00175,4.00E-04
0.00017,4.00E-05
0.02282,0.00525
0.03767,0.00867
0.02274,0.00523
0.00518,0.00119
0.00011,3.00E-05
4.00E-05,1.00E-05
0.00151,0.00035
0.00091,0.00021
0.00527,0.00121
0.00175,4.00E-04
0.00263,6.00E-04
0.00045,1.00E-04
0.00548,0.00126
0.00233,0.00054
1.00E-04,2.00E-05
0.01168,0.00269
0.00817,0.00188
0.00263,0.00061
0.00205,0.00047
0.00204,0.00047
3.00E-05,1.00E-05
0.01362,0.00314
0.00072,0.00017
0.01138,0.00262
0.00176,4.00E-04
0.00063,0.00015
0.03156,0.00727
0.00156,0.00036
0.00263,6.00E-04
0.00175,4.00E-04
0.01164,0.00268
0.00171,0.00039
0.00016,4.00E-05
0.00251,0.00058
0.34661,0.0798
0.04198,0.00967
0,0
0.01308,0.00301
0.01699,0.00391
0.0123,0.00283
0.00095,0.00022
3.00E-05,1.00E-05
0.00204,0.00047
0.00026,6.00E-05
0.00175,4.00E-04
0.00175,4.00E-04
0.00401,0.00092
0.00236,0.00054
0.00427,0.00098
0.01337,0.00308
0.00894,0.00206
0.00292,0.00067
0.00311,0.00072
0.00175,4.00E-04
4.00E-05,1.00E-05
0.00642,0.00148
0.14542,0.03348
0.00171,0.00039
0.00039,9.00E-05
0.00162,0.00037
0.00175,4.00E-04
0.00613,0.00141
0.00039,9.00E-05
0.00239,0.00055
0.00321,0.00074
0.00134,0.00031
1.00E-04,2.00E-05
0.00078,0.00018
5.00E-05,1.00E-05
0.00934,0.00215
0.00436,0.001
0.00496,0.00114
0.00059,0.00014
0,0
0.00031,7.00E-05
0.00315,0.00072
0.0068,0.00156
0.00803,0.00185
0.00175,4.00E-04
0.00671,0.00154
9.00E-05,2.00E-05
0.00303,7.00E-04
0.00017,4.00E-05
0.00595,0.00137
0.00063,0.00015
0.01291,0.00297
0.00554,0.00128
0.00123,0.00028
9.00E-05,2.00E-05
0.00063,0.00015
0.00175,4.00E-04
0.00233,0.00054
0.00931,0.00214
0.00315,0.00072
0.00106,0.00024
0.00554,0.00128
0.01144,0.00263
0.00379,0.00087
0.00478,0.0011
0.00023,5.00E-05
0.00379,0.00087
0.00233,0.00054
0.00263,6.00E-04
0.00175,4.00E-04
0.00263,6.00E-04
0.00272,0.00063
0.00634,0.00146
0.00572,0.00132
0.00026,6.00E-05
0.02259,0.0052
0.04969,0.01144
0.00233,0.00054
0.014,0.00322
0.01609,0.0037
0,0
0.0105,0.00242
0.00285,0.00066
0.00266,0.00061
0.00875,0.00202
0.00204,0.00047
0.01809,0.00417
0.00204,0.00047
0.0035,0.00081
0.00106,0.00024
0.00292,0.00067
0.00066,0.00015
0.02111,0.00486
0.00047,0.00011
0.00175,4.00E-04
0.00708,0.00163
3.00E-05,1.00E-05
0.00307,0.00071
0.01865,0.00429
0.00263,6.00E-04
8.00E-05,2.00E-05
0.00321,0.00074
7.00E-05,2.00E-05
0.0035,0.00081
0.00057,0.00013
0.006,0.00138
0.00246,0.00057
0.00175,4.00E-04
